"Country_name","Year","GDP_per_capita","Death_rate","Diet_high_in_sodium","Diet_low_in_whole_grains","Alcohol_use","Diet_low_in_fruits","Diet_low_in_nuts_and_seeds","Diet_low_in_vegetables","Low_physical_activity","Drug_Use","High_body_mass_index"
"Equatorial Guinea",2010,"29944.262","11.214",36,47,205,23,1,40,32,33,322
"Estonia",2010,"26015.746","11.849",192,797,1351,315,375,203,272,199,2630
"Eswatini",2010,"7221.336","15.911",73,98,708,150,14,102,77,188,1209
"Ethiopia",2010,"1236.4794","9.001",6728,5068,15378,6373,2668,4027,620,1041,8384
"Fiji",2010,"10019.412","7.113",226,359,80,302,13,145,211,26,1988
"Finland",2010,"45874.66","9.496",887,2420,3094,964,1028,827,1350,633,4838
"France",2010,"42145.684","8.665",5478,17081,41323,7615,3491,4444,12395,4653,40000
"Gabon",2010,"13682.848","8.284",119,155,811,49,4,131,91,52,1004
"Gambia",2010,"2172.1938","8.941",111,153,412,192,3,129,52,40,564
"Georgia",2010,"9736.732","12.347",2873,4284,2145,1844,1364,1089,914,262,8956
"Germany",2010,"46999.24","10.582",13707,31153,71398,12208,3974,9365,16445,4571,92357
"Ghana",2010,"3709.3958","8.626",2680,2668,9165,814,47,1758,899,676,12179
"Greece",2010,"33693.21","9.97",1983,6555,3942,428,374,142,1934,423,11381
"Grenada",2010,"12493.885","7.058",12,30,37,8,4,13,20,2,102
"Guatemala",2010,"7335.989","5.296",1259,1291,4826,842,228,615,114,259,5310
"Guinea",2010,"1856.4902","11.669",802,911,1506,604,38,778,305,136,3106
"Guinea-Bissau",2010,"1697.4956","11.035",118,132,559,147,4,152,45,43,467
"Guyana",2010,"9831.81","7.399",103,197,434,154,11,105,147,19,897
"Haiti",2010,"2932.279","17.738",982,1911,12981,1236,244,1521,1088,337,4127
"Honduras",2010,"4790.1094","4.348",1003,848,2148,558,486,564,144,185,3674
"Hungary",2010,"24477.576","13.054",12400,7373,10366,3019,3468,1139,2253,238,19705
"Iceland",2010,"47457.62","6.358",34,83,53,32,24,29,51,15,171
"India",2010,"4213.363","7.385",139610,193712,275927,196674,127185,111082,71419,73706,340185
"Indonesia",2010,"8212.635","7.406",76654,31331,16485,39579,2149,30674,17964,5130,115831
"Iran",2010,"15099.46","5.108",3164,22357,2449,1315,2537,1230,10182,5857,42529
"Iraq",2010,"8178.305","5.85",1392,9060,619,3694,4452,1021,5758,808,26207
"Ireland",2010,"53500.914","6.105",294,830,1467,426,318,285,925,304,2473
"Israel",2010,"34065.844","5.35",495,1628,487,164,30,32,1061,206,4050
"Italy",2010,"42664.355","9.72",10454,29556,30236,3648,4728,3345,16070,5796,55811
"Jamaica",2010,"9700.027","6.019",275,507,345,217,23,170,625,33,2598
"Japan",2010,"38069.957","10.12",35990,27349,47427,18847,10814,3177,16719,9926,45389
"Jordan",2010,"11866.881","3.604",161,1144,132,332,85,169,575,57,4088
